lemma	pos	form	sentence	source_corpus
olla	VERB	olette	Saitte löytää ensin itsenne, ja olette nyt valmiita tähän.	fi
olla	VERB	olivat	Joku kertoo, miten treffit olivat menneet pieleen.	fi
ne	DET	niihin	Miksi hän halusi lähteä niihin mukaan?	fi
ne	DET	niinä	Ja varsinkin niinä päivinä, kun tuli metsästä eikä saanut mitään.	fi
he	PRON	häneen	Törmään häneen kaikkialla, vaikka elän aivan erilaista elämää kuin hän.	fi
he	PRON	heihin	Mutta sinä et saa kiivastua heihin etkä olla siitä ankara.	fi
mi	PRON	miltä	Haluan kertoa hänelle, miltä isän kuolema tuntuu, tai kuinka se ei oikeastaan tunnu miltään.	fi
mi	PRON	missä	Laita sitten silmät kiinni ja muistele, missä punaiset asiat sijaitsivat.	fi
ei	VERB	ette	Minä laitan Samin soittamaan teille, ja te ette tapa ettekä vammauta sitä.	fi
ei	VERB	älkää	Muistakaa pitää toisistanne huolta, ja jos toinen on vajoamassa, älkää antako sen tapahtua.	fi
te	PRON	sinäsi	Jos sinä ja menneet sinäsi osallistuvat,-.	fi
te	PRON	sinä	En haluaisi olla sinä, Laine kertoo vanhan ystävän sanoneen.	fi
me	PRON	minua	Sekä kaikenlaista erilaista, väärää ja outoa, joka minua kiehtoo.	fi
me	PRON	meistä	Ei toki täysin surkeakaan, mutta olisi hän voinut edes joskus sanoa meistä jotain hyvää.	fi
tämä	DET	tässä	Katsokaa vain, ei tässä ole mitään vaaraa tai väärää!	fi
tämä	DET	täten	Julistan täten, että olette tulleet turhaan.	fi
joka	PRON	joihin	Maailmassa on paljon paikkoja, joihin ei saa mennä lapsen kanssa.	fi
joka	PRON	jotta	Toisaalta olen asunut liian vähän aikaa, jotta oikeasti ymmärtäisin, mistä on kyse.	fi
en	VERB	Enni	Neuvolan Ulla, lastensuojeluviranomaiset, Jönni, Enni, puiston muut naiset.	fi
voi	NOUN	voit	Sä voit tehdä omia juttujasi parin tunnin ajan, minä sanon.	fi
voi	NOUN	voilta	Illalla ei käy laatuun tuoksua voilta.	fi
hyvä	ADJ	hyvälle	Sellainen tuntuu heistä hyvälle.	fi
hyvä	ADJ	parhain	Mutta voihan olla, kuka tietää, ehkä kaikki vielä kääntyy parhain päin.	fi
tulla	VERB	tulisit	Arvelinkin, että tulisit takaisin ennemmin tai myöhemmin.	fi
tulla	VERB	tulin	Mä tulin auttamaan sua, minä selitän.	fi
tietää	VERB	tietäisitte	Onkin jo korkea aika, että tietäisitte.	fi
tietää	VERB	tiedä	Hän ei vieläkään tiedä, miksi siskon mielestä hänelle ei olisi saanut kertoa.	fi
vain	ADV	vaan	Nopeasti tajuan, että Threadsin ongelma ei ole algoritmi, vaan sinkut.	fi
vain	ADV	Vaan	Vaan tamma odotti parempaa manausta... ei ollut kuulevinaankaan, laahasi vain jalkojaan kuin vesitynnöriä vetäessään.	fi
pitää	VERB	pidä	Sitten pidä silmät kiinni ja kerro, missä siniset asiat olivat.	fi
pitää	VERB	pidin	Ennen pidin heitä vain rikollisina, mutta nyt tiedän, että hekin ovat ihmisiä.	fi
haluta	VERB	halusi	Miksi hän halusi lähteä niihin mukaan?	fi
haluta	VERB	haluaisin	Juuri nyt haluaisin löytää syyn sille, miksi en tule raskaaksi.	fi
saada	VERB	saamme	Mutta mikä on hänen tahtonsa, ja mistä me sen tietää saamme?	fi
saada	VERB	saatava	Hänen on saatava aikaan käänne.	fi
mennä	VERB	meen	Mä meen nyt käymään äidin luona.	fi
mennä	VERB	menevä	Ajattele, että sä olet menevä sinkku, minä sanon.	fi
tehdä	VERB	teki	Mieleni teki tehdä jotain hyödyllistä.	fi
tehdä	VERB	tekemällä	Silti hän korostaa, että hallitustyöskentely on kuin käsityötä. ” Sitä oppii vain tekemällä ”.	fi
tämä	PRON	tää	Ohan tää lopulta aika yksinkertaista.	fi
kuu	NOUN	kuulla	On lohduttavaa kuulla, että minulla on oikeus tunteisiin.	fi
kuu	NOUN	Kuulla	Ilmeisesti Kuulla on sillä alalla jokunen ainutkertainen etu.	fi
nähdä	VERB	näitte	Luulen, että näitte sen kaiken.	fi
nähdä	VERB	näen	Olen jo melkein hänen talonsa kohdalla, kun näen hänen tulevan ovesta ulos.	fi
sanoa	VERB	sanomaan	Sitten en pysty sanomaan enää mitään.	fi
sanoa	VERB	sanotaan	Ainakaan hän ei kuuntele, mitä hänelle sanotaan.	fi
yksi	NUM	yhden	Suomessa se ehtii yleensä tehdä yhden lentävän sukupolven.	fi
yksi	NUM	yy	Alaston totuus tulossa än … yy … tee..	fi
mikään	PRON	miltään	Haluan kertoa hänelle, miltä isän kuolema tuntuu, tai kuinka se ei oikeastaan tunnu miltään.	fi
mikään	PRON	mitään	Valon ja pimeän raja on niin terävä, ettei sen yli näe mitään.	fi
